Date,1N Endwall,1S Endwall,Blast ID
11/06/2021 13:45,6.57,8.28,1S37D46_PS1
14/06/2021 15:33,0.32,0.29,6N20H15_CL1
19/06/2021 14:26,0.49,0.38,5N33D11_FL2
19/06/2021 14:26,0.49,0.38,5N38Q01_P3
19/06/2021 14:26,0.49,0.38,5N37H16_P4
21/06/2021 13:24,2.43,2.36,3N42H13_T1
21/06/2021 13:24,2.43,2.36,1N38D13_C3
21/06/2021 13:24,2.43,2.36,1S35D13_FL1
24/06/2021 15:15,NA,NA,1S38H15_CL1
29/06/2021 13:23,0.45,0.3,5N34D11_C5
29/06/2021 13:23,0.45,0.3,5N35D46_O1
29/06/2021 13:23,0.45,0.3,5N35D46_P2
1/07/2021 1:25,4.13,1.93,1S38H16_P5
9/07/2021 13:37,17.88,23.54,1S39Q01_P1
9/07/2021 13:37,17.88,23.54,1S39P08_P1
9/07/2021 13:37,17.88,23.54,1S38H15_CL2
14/07/2021 13:11,0.15,0.16,7N22D11_PS1
15/07/2021 15:25,7.38,21.05,1S37D46_C1
23/07/2021 12:04,0.77,0.65,5N37H08_P1
23/07/2021 12:04,0.77,0.65,6N22H16_P1
23/07/2021 12:04,0.77,0.65,6N22H16_T1
27/07/2021 13:30,NA,NA,11S26PSS_P1
27/07/2021 13:30,NA,NA,11S26PSS_P2
30/07/2021 14:40,0.23,0.3,3N42D46_P1
30/07/2021 14:40,0.23,0.3,2N40D46_O1
31/07/2021 13:30,NA,NA,4S33D45_PA1
1/08/2021 15:19,1.14,NA,3N42H13_P2
1/08/2021 15:19,1.14,NA,5N35D46_P3
3/08/2021 16:07,9.67,17.52,1S37D46_PS2
12/08/2021 14:41,5.21,1.68,2S36H16_P1
20/08/2021 14:30,14.62,67.85,1S37D46_C2
22/08/2021 11:28,0.1,0.08,4S33D132_PA1
22/08/2021 14:32,NA,NA,6N22H16_CL1
23/08/2021 13:05,0.31,NA,7N23H16_P2
23/08/2021 13:05,0.31,NA,6N20H08_P2 
24/08/2021 14:46,0.23,NA,5N37H16_CL2
25/08/2021 14:04,0.15,NA,1N38D13_C4
